finn_car_id,product_brand,purchasing_model,purchasing_model_line,product_fuel,helper_subscription_handover_date,product_body_type,delivery_compound_location
3ejhea3i,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3eluih1z,Audi,Q5 Sportback,S line,Diesel (mild-hybrid),2023-02-14,SUV,compound_akb_kitzingen
3emef90k,Fiat,500,Dolcevita,Benzin (mild-hybrid),2023-02-02,Kleinwagen,compound_mosolf_kippenheim
3enk6iox,Nissan,Qashqai,N-Connecta,Benzin (mild-hybrid),2022-09-13,SUV,compound_blg_d2c_atn2_neuss
3enq16bc,Opel,Mokka e,GS Line,Elektro,,SUV,dealer_siebrecht_d2c_uslar
3erd69f4,BMW,iX3,Impressive,Elektro,,SUV,compound_akb_kitzingen
3es952bl,Opel,Mokka,GS Line,Benzin,2022-03-21,SUV,dealer_siebrecht_d2c_uslar
3esj00q5,Opel,Zafira Life,Edition,Diesel,,Van,dealer_sachsengarage_nossen
3exwdtc4,Jeep,Compass,S,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
3ezpum5n,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3ezrs4qp,Opel,Crossland,Elegance,Benzin,2022-02-18,SUV,dealer_siebrecht_d2c_uslar
3f2zsd6h,Opel,Zafira Life,Edition M,Diesel,2022-04-26,Van,dealer_siebrecht_d2c_uslar
3f5erbyn,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3f7rduvw,Audi,Q5 Sportback,S line,Benzin (mild-hybrid),,SUV,compound_akb_kitzingen
3f9rtb5g,Audi,Q3 Sportback,S line,Diesel,,SUV,compound_akb_kitzingen
3f763vbh,Tesla,Model Y,Performance,Elektro,2022-11-17,SUV,compound_akb_kitzingen
3f1038x3,Polestar,2,Long Range Dual Motor,Elektro,2022-05-03,Limousine,dealer_eder_polestar_muenchen
3faj6oof,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3fauwi2q,Opel,Corsa,Elegance,Benzin,2022-10-20,Limousine,dealer_siebrecht_d2c_uslar
3fdo2hig,Opel,Crossland,Edition,Benzin,2022-02-10,SUV,compound_blg_neuss
3fhuqprv,Dacia,Spring,Comfort Plus,Elektro,,SUV,compound_akb_schoeneck
3fi3sqtr,Tesla,Model 3,Long Range,Elektro,2022-11-16,Limousine,compound_akb_kitzingen
3fia63ju,Opel,Corsa,GS Line,Benzin,,Limousine,compound_blg_neuss
3fitisa5,Kia,XCeed,Vision,Plug-In-Hybrid,2023-01-10,SUV,compound_blg_duisburg
3fkc0yfu,Tesla,Model 3,Long Range,Elektro,,Limousine,compound_akb_schoeneck
3fl19epw,Audi,Q2,S line,Benzin,,SUV,compound_akb_kitzingen
3fm0g7ou,Audi,A4 Avant,S line,Benzin (mild-hybrid),,Kombi,compound_akb_kitzingen
3fn0bzah,Land Rover,Range Rover Evoque,R-Dynamic SE,Diesel (mild-hybrid),2023-01-27,SUV,compound_blg_duisburg
3fn8g1rj,Jeep,Compass,Limited,Benzin,2022-08-25,SUV,compound_mosolf_kippenheim
3fnm9lit,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3fogok97,Polestar,2,Standard Range Single Motor,Elektro,2022-05-17,Limousine,dealer_eder_polestar_muenchen
3fovy8py,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3freowbi,Polestar,2,Long Range Single Motor,Elektro,2022-03-01,Limousine,dealer_eder_polestar_muenchen
3fum5ej6,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3g4pwqqw,Opel,Crossland,Elegance,Benzin,2023-02-14,SUV,dealer_siebrecht_d2c_uslar
3g7dql79,Opel,Corsa,GS Line,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3g9ru9us,Fiat,500 e,ICON,Elektro,2023-01-21,Kleinwagen,compound_mosolf_kippenheim
3g9ydfvg,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
3g17ioj7,Fiat,500,Lounge,Benzin (mild-hybrid),2022-11-09,Kleinwagen,compound_mosolf_ketzin
3g18tbsx,Nissan,Leaf,N-Connecta,Elektro,2023-02-10,Limousine,compound_blg_d2c_atn2_neuss
3g22ixbb,Opel,Mokka e,GS Line,Elektro,2022-01-28,SUV,dealer_siebrecht_d2c_uslar
3g24w6tx,Opel,Mokka e,GS Line,Elektro,,SUV,dealer_siebrecht_d2c_uslar
3g29zadq,Opel,Mokka e,GS Line,Elektro,2023-04-14,SUV,dealer_siebrecht_d2c_uslar
3g82aua9,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
3ga8o9bl,Mazda,MX-30,Komfort-Paket,Elektro,,SUV,compound_blg_duisburg
3gauo4gv,Opel,Grandland,GS Line,Benzin,,SUV,dealer_siebrecht_d2c_uslar
3gbxljpe,Audi,Q3 Sportback,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
3gcos1yx,Mitsubishi,Eclipse Cross,Plus,Plug-In-Hybrid,2022-05-19,SUV,compound_blg_d2c_neuss
3gcq0b0n,Opel,Corsa,Elegance,Benzin,,Limousine,compound_blg_saalanderdonau
3gf4648k,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3gfa9o6w,BMW,1er,Modell Sport Line,Diesel,,Limousine,compound_akb_schoeneck
3gfcnznj,Jeep,Compass,Upland,Plug-In-Hybrid,,SUV,compound_mosolf_ketzin
3gg0fal4,Renault,Koleos,Intens,Benzin,2023-01-05,SUV,compound_rrg_eching
3gh2zb8d,Tesla,Model 3,Long Range,Elektro,2022-12-15,Limousine,compound_akb_kitzingen
3gjhrqkv,Nissan,Qashqai,N-Connecta,Benzin (mild-hybrid),2022-12-19,SUV,compound_blg_d2c_atn2_neuss
3gk1pxd8,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3gk99ufb,Jeep,Compass,S,Plug-In-Hybrid,2022-04-12,SUV,compound_mosolf_kippenheim
3gkwjodm,BMW,5er Touring,Modell Luxury Line,Diesel,,Kombi,compound_akb_schoeneck
3glj4bue,BMW,X7,M Sportpaket,Diesel,2022-06-27,SUV,compound_akb_kitzingen
3gmh8o4m,Kia,Rio,Vision,Benzin,2023-03-14,Limousine,compound_blg_d2c_duisburg
3gmv3o3e,Opel,Corsa,Edition,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3gogtxa3,Audi,SQ8,competition plus,Benzin,,SUV,compound_akb_kitzingen
3gpixshn,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3gpux6ho,Fiat,500 e,ICON,Elektro,2022-11-17,Kleinwagen,compound_mosolf_kippenheim
3gqi8jg1,Opel,Grandland,GS Line,Plug-In-Hybrid,,SUV,dealer_siebrecht_d2c_uslar
3grno4v0,Jeep,Compass,Limited,Benzin,2022-04-14,SUV,compound_mosolf_kippenheim
3gt5lblb,Nissan,Qashqai,Tekna+,Benzin (mild-hybrid),,SUV,compound_blg_d2c_atn2_neuss
3gtegfv6,Skoda,Karoq,CLEVER,Benzin,,SUV,dealer_feser_nürnberg
3gu0vamw,Fiat,500,Dolcevita,Benzin (mild-hybrid),2023-01-24,Kleinwagen,compound_mosolf_ketzin
3gu2i79d,Dacia,Spring,Comfort Plus,Elektro,,SUV,compound_akb_schoeneck
3gvdjyvi,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3gvsujmt,Fiat,500C,Dolcevita,Benzin (mild-hybrid),2023-02-07,Cabriolet,compound_mosolf_ketzin
3gz1tp9o,MG,4,Luxury,Elektro,,Limousine,compound_carserviceerkens_wachtendonk
3gzjvqc6,Opel,Astra,Elegance,Benzin,,Limousine,dealer_sachsengarage_nossen
3h0bkgzy,Hyundai,i20,Edition 30,Benzin,2022-04-13,Limousine,compound_blg_saalanderdonau
3h2slrme,Audi,Q5 Sportback,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
3h3bujci,Opel,Corsa,Edition,Benzin,2022-04-06,Limousine,dealer_siebrecht_d2c_uslar
3h3dmig9,Opel,Grandland,GS Line,Plug-In-Hybrid,,SUV,dealer_siebrecht_d2c_uslar
3h4swvkp,VW,Passat Variant,Business,Diesel,2023-02-20,Kombi,compound_arsaltmann_wolnzach
3h34jqc6,Jeep,Compass,Limited,Benzin,2022-08-12,SUV,compound_mosolf_kippenheim
3h37vz6d,Fiat,500,Lounge,Benzin (mild-hybrid),2020-07-17,Kleinwagen,compound_mosolf_ketzin
3h715h1y,Jeep,Compass,Upland,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
3has4700,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3hbamikv,Jeep,Compass,Limited,Benzin,2022-05-27,SUV,compound_mosolf_kippenheim
3hbwbuaj,Audi,Q5 Sportback,S line,Benzin (mild-hybrid),,SUV,compound_akb_kitzingen
3hc335f1,Nissan,Qashqai,Acenta,Benzin (mild-hybrid),2022-04-14,SUV,compound_blg_d2c_atn2_neuss
3hcjzlkr,Opel,Crossland,GS Line,Benzin,2022-06-14,SUV,dealer_siebrecht_d2c_uslar
3hcr120l,Fiat,500 e,ICON,Elektro,2022-07-16,Kleinwagen,compound_mosolf_kippenheim
3hfxah14,Opel,Astra ST,GS Line,Plug-In-Hybrid,,Kombi,dealer_siebrecht_d2c_uslar
3hgfgvwh,Fiat,500 e,ICON,Elektro,,Kleinwagen,compound_mosolf_kippenheim
3hiw27jg,Jeep,Compass,Upland,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
3hl7sn77,Audi,A4 Limousine,S line,Benzin (mild-hybrid),,Limousine,compound_akb_kitzingen
3hlqnfux,BMW,5er Touring,M Sportpaket,Diesel,,Kombi,compound_akb_schoeneck
3hm6pk87,Jeep,Compass,Upland,Plug-In-Hybrid,,SUV,
3hoxbgb0,Peugeot,508 SW,Allure,Benzin,2023-02-27,Kombi,dealer_eder_peugeot_rosenheim
3hqo1y1g,Opel,Grandland X,Ultimate,Diesel,,SUV,compound_blg_saalanderdonau
3hqrkm4d,Opel,Astra,GS Line,Plug-In-Hybrid,,Limousine,dealer_siebrecht_d2c_uslar
3ht9wkfb,BMW,2er Gran Coupé,Modell Sport Line,Benzin,,Coupé,compound_akb_schoeneck
3htnutzq,Polestar,2,Standard Range Single Motor,Elektro,2022-03-29,Limousine,dealer_eder_polestar_muenchen
3htp9u09,Opel,Insignia ST,Edition,Diesel,,Kombi,dealer_siebrecht_d2c_uslar
3hwlt0sl,Tesla,Model Y,Long Range,Elektro,2022-09-09,SUV,compound_akb_kitzingen
3hxurl9m,Jeep,Compass,S,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
3i1tp3at,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3i2n8uf8,Opel,Crossland,Elegance,Benzin,2022-11-11,SUV,dealer_siebrecht_d2c_uslar
3i3cmapm,Tesla,Model 3,Long Range,Elektro,2022-11-02,Limousine,compound_akb_kitzingen
3i5t4uko,Audi,RS e-tron GT,,Elektro,,Limousine,compound_akb_kitzingen
3i8szjy4,BMW,2er Cabrio,Modell M Sport,Benzin,,Cabriolet,compound_akb_schoeneck
3i8t9pja,Kia,XCeed,Spirit,Benzin,,SUV,compound_blg_duisburg
3i74pjvt,Tesla,Model 3,Standard Range,Elektro,,Limousine,compound_akb_kitzingen
3i95ef0q,Opel,Grandland,GS Line,Benzin,2022-06-14,SUV,dealer_siebrecht_d2c_uslar
3ia886iv,MG,Marvel R,Luxury,Elektro,,SUV,compound_carserviceerkens_wachtendonk
3iax1u5q,Ford,Focus,ST-Line,Benzin,,Limousine,dealer_eder_akf_kolbermoor
3ib431r5,Hyundai,KONA Elektro,Style,Elektro,,SUV,compound_blg_saalanderdonau
3ic0tnjs,Fiat,500,Lounge,Benzin (mild-hybrid),2022-03-05,Kleinwagen,compound_mosolf_ketzin
3iec63i4,Skoda,Scala,Style,Benzin,2022-05-03,Limousine,compound_akb_kitzingen
3iep1t1v,Nissan,Qashqai,N-Connecta,Benzin (mild-hybrid),,SUV,compound_blg_d2c_atn2_neuss
3ifsp570,Dacia,Spring,Comfort Plus,Elektro,2022-02-07,SUV,compound_akb_schoeneck
3ig9zvfi,BMW,X5,M Sportpaket,Diesel,,SUV,compound_akb_kitzingen
3ig3448o,BMW,iX,Sportpaket,Elektro,2023-01-30,SUV,compound_akb_kitzingen
3ih8wmvp,BMW,1er,Modell Sport Line,Benzin,2022-04-29,Limousine,compound_akb_schoeneck
3ihiub1k,Polestar,2,Performance,Elektro,,Limousine,dealer_eder_polestar_muenchen
3ihpgzlu,Opel,Grandland,GS Line,Plug-In-Hybrid,,SUV,dealer_siebrecht_d2c_uslar
3ijviuu2,Toyota,Aygo X,Pulse,Benzin,,Limousine,compound_blg_saalanderdonau
3ik785ry,Kia,Rio,Vision,Benzin,,Limousine,compound_blg_duisburg
3ikvfufv,BMW,1er,Modell Advantage,Benzin,,Limousine,compound_akb_schoeneck
3invkact,Skoda,Scala,Ambition,Benzin,2022-04-19,Limousine,compound_akb_kitzingen
3io8tlm7,Land Rover,Range Rover Evoque,R-Dynamic HSE,Benzin (mild-hybrid),2022-11-07,SUV,compound_blg_duisburg
03ipj1bl,Kia,XCeed,Spirit,Benzin,2023-01-24,SUV,compound_blg_d2c_duisburg
3iqvcvbo,Fiat,500 e,ICON,Elektro,2023-01-18,Kleinwagen,compound_mosolf_kippenheim
3irpgigk,Opel,Insignia ST,Elegance,Benzin,2022-09-01,Kombi,dealer_siebrecht_d2c_uslar
3is82xmd,Kia,Rio,Vision,Benzin,,Limousine,compound_blg_d2c_duisburg
3isojt8x,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3ivduhm4,Opel,Corsa,Elegance,Benzin,2023-03-01,Limousine,dealer_siebrecht_d2c_uslar
3j0ftmr7,Opel,Crossland,GS Line,Benzin,,SUV,dealer_siebrecht_d2c_uslar
3j0w7lkr,Fiat,500C,Dolcevita,Benzin (mild-hybrid),2022-09-27,Cabriolet,compound_mosolf_ketzin
3j1gyvek,Audi,A4 Limousine,S line,Benzin (mild-hybrid),,Limousine,compound_akb_kitzingen
3j2q7bl2,Audi,RS 5 Sportback,,Benzin,,Limousine,compound_akb_kitzingen
3j2wedd4,Audi,Q2,S line,Benzin,,SUV,compound_akb_kitzingen
3j3fah06,BMW,5er Touring,M Sportpaket,Diesel,,Kombi,compound_akb_schoeneck
3j5sc85n,Fiat,500C,Dolcevita,Benzin (mild-hybrid),,Cabriolet,compound_mosolf_ketzin
3j6vvqz4,Tesla,Model 3,Long Range,Elektro,2022-10-13,Limousine,compound_akb_kitzingen
3j08f9uo,Opel,Corsa,Elegance,Benzin,2022-07-06,Limousine,dealer_siebrecht_d2c_uslar
3j8np4cc,VW,Passat Variant,Business,Diesel,2023-01-30,Kombi,compound_arsaltmann_wolnzach
3jagdz6k,Nissan,Qashqai,N-Connecta,Benzin (mild-hybrid),,SUV,compound_blg_d2c_atn2_neuss
3jbspa0o,Opel,Zafira Life,Edition M,Diesel,2022-05-27,Van,dealer_siebrecht_d2c_uslar
3jc3glv9,Audi,Q2,S line,Benzin,,SUV,compound_akb_kitzingen
3jciq6zv,Opel,Mokka e,GS Line,Elektro,2022-04-19,SUV,dealer_siebrecht_d2c_uslar
3jd0uiu7,Audi,Q3 Sportback,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
03jed4xi,Fiat,500 e,ICON,Elektro,2022-12-01,Kleinwagen,compound_mosolf_kippenheim
3jeg4dbo,Polestar,2,Long Range Single Motor,Elektro,,Limousine,compound_catzuelpich_zülpich
3jeg62nv,Opel,Insignia ST,Elegance,Benzin,2022-08-22,Kombi,dealer_siebrecht_d2c_uslar
03jeuw9r,Audi,RS 5 Sportback,,Benzin,,Limousine,compound_akb_kitzingen
3jeuxw7z,Toyota,Aygo X,Pulse,Benzin,2023-02-27,Limousine,compound_blg_saalanderdonau
3jin6wnh,Audi,Q3 Sportback,S line,Diesel,,SUV,compound_akb_kitzingen
03jk6kdt,Jeep,Compass,Limited,Benzin,,SUV,compound_mosolf_kippenheim
3jlopq3o,Polestar,2,Long Range Single Motor,Elektro,2022-05-30,Limousine,dealer_eder_polestar_muenchen
3jmfnnbw,BMW,3er Touring,M Sportpaket,Plug-In-Hybrid,2023-02-15,Kombi,compound_akb_kitzingen
3jngh202,Opel,Astra,GS Line,Plug-In-Hybrid,,Limousine,dealer_siebrecht_d2c_uslar
3jpxzeqb,Hyundai,KONA Elektro,Trend – Facelift 2021,Elektro,2023-02-15,SUV,compound_blg_saalanderdonau
3jr1abpz,Tesla,Model 3,Long Range,Elektro,2022-10-27,Limousine,compound_akb_kitzingen
03jse0mo,Tesla,Model 3,Long Range,Elektro,,Limousine,compound_akb_kitzingen
3jxblzzn,Nissan,Qashqai,N-Connecta e-POWER,Benzin,,SUV,compound_blg_d2c_atn2_neuss
3jy4fn5d,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3jzkfple,Audi,A4 Avant,S line,Benzin (mild-hybrid),,Kombi,compound_akb_kitzingen
3k0se5gu,Opel,Astra,GS Line,Plug-In-Hybrid,,Limousine,dealer_siebrecht_d2c_uslar
3k01a44c,Polestar,2,Long Range Single Motor,Elektro,,Limousine,dealer_eder_polestar_muenchen
3k2xjnt1,Audi,Q3 Sportback,S line,Diesel,2022-11-04,SUV,compound_akb_kitzingen
3k3dc8py,Jeep,Compass,Upland,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
3k4escmm,Mitsubishi,Eclipse Cross,Plus,Plug-In-Hybrid,,SUV,compound_blg_d2c_neuss
3k7ldswb,Fiat,500 e,ICON,Elektro,,Kleinwagen,compound_mosolf_kippenheim
3ka1mx1y,Opel,Mokka e,GS Line,Elektro,2023-02-10,SUV,dealer_siebrecht_d2c_uslar
3kbuhjlj,Audi,RS Q3 Sportback,,Benzin,,SUV,compound_akb_kitzingen
3kelo1gf,Audi,Q3,S line,Diesel,,SUV,compound_akb_kitzingen
3kf5updw,Opel,Crossland,Elegance,Benzin,2022-02-28,SUV,dealer_siebrecht_d2c_uslar
3ki94nk8,Nissan,Primastar,Tekna,Diesel,2022-08-17,Van,compound_blg_d2c_atn2_neuss
3kijlv8m,Opel,Grandland,GS Line,Plug-In-Hybrid,,SUV,dealer_siebrecht_d2c_uslar
03kinx6k,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3kk8eafr,Peugeot,2008,Allure,Benzin,2023-02-20,SUV,compound_akb_kitzingen
3km3eh3r,Audi,RS e-tron GT,,Elektro,,Limousine,compound_akb_kitzingen
3kn3frri,MINI,3 Türer,Classic Trim,Benzin,2022-08-12,Limousine,compound_akb_kitzingen
3ko8jd05,Hyundai,KONA Elektro,Style,Elektro,,SUV,compound_blg_saalanderdonau
3kpcs6rx,Audi,A3 Sportback,S line,Diesel,,Limousine,compound_akb_kitzingen
3kpmmwu3,Polestar,2,Long Range Dual Motor,Elektro,2022-05-12,Limousine,dealer_eder_polestar_muenchen
3kq9ygia,Audi,A4 Avant,S line,Benzin (mild-hybrid),,Kombi,compound_akb_kitzingen
3kqcpaku,Jeep,Compass,S,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
3kr2klsk,Peugeot,2008,Allure,Benzin,,SUV,compound_akb_kitzingen
3ksaf3qk,Tesla,Model 3,Long Range,Elektro,2023-01-04,Limousine,compound_akb_kitzingen
3ksc34x0,BMW,3er Touring,Modell Sport Line,Diesel,,Kombi,compound_akb_schoeneck
3kshox2g,MG,4,Luxury,Elektro,,Limousine,compound_carserviceerkens_wachtendonk
3ktyursg,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3kv53x20,Nissan,Qashqai,N-Connecta,Benzin (mild-hybrid),,SUV,compound_blg_d2c_atn2_neuss
3kvkekpn,Land Rover,Range Rover Evoque,R-Dynamic SE,Diesel (mild-hybrid),2022-12-02,SUV,compound_blg_duisburg
3kwokfru,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3kwvfpen,Opel,Crossland,GS Line,Benzin,2023-04-03,SUV,dealer_siebrecht_d2c_uslar
3kx74140,Peugeot,508 SW,GT,Plug-In-Hybrid,,Kombi,compound_akb_kitzingen
3kxotco5,VW,Passat Variant,Business,Diesel,2022-10-04,Kombi,compound_arsaltmann_wolnzach
3kyj0p2r,BMW,2er Cabrio,Modell M Sport,Benzin,,Cabriolet,compound_akb_schoeneck
3kza34pz,Ford,Fiesta,ST-Line,Benzin,,Limousine,dealer_eder_akf_kolbermoor
3l2l3x93,Audi,RS 6 Avant,,Benzin (mild-hybrid),2022-11-24,Kombi,compound_akb_kitzingen
3l2xuuaa,Tesla,Model Y,Long Range,Elektro,2022-08-03,SUV,compound_akb_kitzingen
3l25rm40,Opel,Insignia ST,Elegance,Benzin,2022-09-29,Kombi,dealer_siebrecht_d2c_uslar
3l31zpix,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3l032asx,Audi,S3 Sportback,,Benzin,,Kombi,compound_akb_kitzingen
3l34in9q,Peugeot,508 SW,GT,Plug-In-Hybrid,2023-01-17,Kombi,compound_akb_kitzingen
3l263g0s,Renault,Koleos,Intens,Benzin,2022-10-24,SUV,compound_rrg_eching
3l823erb,Mitsubishi,Eclipse Cross,Select,Plug-In-Hybrid,2022-11-02,SUV,compound_blg_d2c_neuss
03l948i8,Kia,XCeed,Spirit,Benzin,2022-11-25,SUV,compound_blg_d2c_duisburg
3larnbwd,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
3lb58a7q,Opel,Crossland,Innovation,Benzin,,SUV,dealer_siebrecht_d2c_uslar
3lcsp0hs,Audi,Q5 Sportback,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
3lcy3utb,Opel,Zafira Life,Edition M,Diesel,2022-09-07,Van,compound_blg_saalanderdonau
3ld94o3s,Nissan,Qashqai,N-Connecta e-POWER,Benzin,,SUV,compound_blg_d2c_atn2_neuss
3lemfptt,Audi,Q3 Sportback,S line,Diesel,,SUV,compound_akb_kitzingen
3lf3nxp4,Opel,Corsa,GS Line,Benzin,,Limousine,dealer_sachsengarage_nossen
3lf26pi5,Tesla,Model 3,Partieller Premium-Innenraum,Elektro,,Limousine,compound_akb_schoeneck
3lg3rlbp,Audi,Q2,S line,Benzin,2023-02-14,SUV,compound_akb_kitzingen
3lhj6eqy,Kia,XCeed,Spirit,Benzin,2023-02-01,SUV,compound_blg_duisburg
3lku0h66,BMW,3er Touring,M Sportpaket,Plug-In-Hybrid,2023-02-09,Kombi,compound_akb_kitzingen
3lleuzbz,Tesla,Model 3,Long Range,Elektro,2023-01-17,Limousine,compound_akb_kitzingen
3lm431yj,Seat,Ateca,FR,Benzin,,SUV,dealer_feser_nürnberg
3lnfgnnu,Opel,Crossland,Edition,Benzin,,SUV,dealer_siebrecht_d2c_uslar
3lnxfinm,Opel,Corsa,Elegance,Benzin,2022-06-14,Limousine,dealer_siebrecht_d2c_uslar
3lp2ati5,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3lpopbwd,Polestar,2,Longe Range Dual Motor mit Performance Paket,Elektro,2022-11-14,Limousine,dealer_parkhausp12bahnhofnord_rosenheim
3lrmaf8n,Tesla,Model 3,Standard Range,Elektro,,Limousine,compound_akb_kitzingen
3lswnkjz,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3lt0q70p,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3ltzwon4,Fiat,500C,Dolcevita,Benzin (mild-hybrid),,Cabriolet,compound_mosolf_ketzin
3lub7ivg,Fiat,500 e,ICON,Elektro,"2022-01-18, 2023-02-21",Kleinwagen,compound_mosolf_kippenheim
3lucdg16,Renault,Clio,Business Edition,Benzin,2021-12-22,Limousine,compound_rrg_eching
3lv3hbbk,Audi,A4 Avant,S line,Benzin (mild-hybrid),,Kombi,compound_akb_kitzingen
3lw7uxo2,BMW,4er Gran Coupé,Modell M Sport,Diesel,2023-01-16,Coupé,compound_akb_kitzingen
3lw8w58o,Opel,Corsa,Edition,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3lw9xv32,Audi,Q3 Sportback,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
3lwcdxex,Kia,XCeed,Vision,Plug-In-Hybrid,2022-08-08,SUV,compound_blg_saalanderdonau
3lwqsqs0,Audi,A3 Sportback,S line,Plug-In-Hybrid,,Limousine,compound_akb_kitzingen
3lxdqa1w,Kia,e-Niro,Vision,Elektro,,SUV,compound_blg_duisburg
3ly8kaew,Opel,Zafira Life,Edition M,Diesel,2022-05-16,Van,dealer_siebrecht_d2c_uslar
3m0i9del,Audi,A3 Limousine,S line,Benzin (mild-hybrid),,Limousine,compound_akb_kitzingen
3m2g09wg,Land Rover,Range Rover Velar,R-Dynamic SE,Benzin,2022-09-22,SUV,dealer_ahgeisser_karlsruhe
3m7iipd0,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
3m7p16iw,Opel,Grandland,GS Line,Diesel,2022-11-24,SUV,dealer_siebrecht_d2c_uslar
3m8cknd9,Kia,Picanto,Dream Team,Benzin,,Limousine,compound_blg_d2c_duisburg
3m8pdqfs,Kia,Ceed,GT Line,Benzin,,Limousine,compound_blg_duisburg
3m9kxyn7,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
3m43qkc2,Fiat,500 e,ICON,Elektro,2022-09-14,Kleinwagen,compound_mosolf_kippenheim
3mar5tka,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3mauy2d1,Tesla,Model 3,Long Range,Elektro,2022-08-16,Limousine,compound_akb_kitzingen
3mazpxqi,Nissan,Qashqai,Acenta,Benzin (mild-hybrid),2022-04-21,SUV,compound_blg_d2c_atn2_neuss
03md5g7x,Jeep,Compass,Limited,Benzin,2022-06-20,SUV,compound_mosolf_kippenheim
3md0347k,Jeep,Compass,Limited,Benzin,2022-08-10,SUV,compound_mosolf_kippenheim
3mdm431t,BMW,iX,Sportpaket,Elektro,2023-01-12,SUV,compound_akb_kitzingen
3mh09jjz,Fiat,500,Dolcevita,Benzin (mild-hybrid),2023-02-16,Kleinwagen,compound_mosolf_ketzin
3mhbzse5,Dacia,Spring,Comfort Plus,Elektro,2022-02-08,SUV,compound_akb_schoeneck
3mj65ral,Fiat,500 e,ICON,Elektro,2022-09-09,Kleinwagen,compound_mosolf_kippenheim
03mje8ah,Audi,RS e-tron GT,,Elektro,,Limousine,compound_akb_kitzingen
3mljvzf4,BMW,2er Gran Tourer,Modell M Sport,Diesel,2022-05-02,Van,compound_akb_schoeneck
3mn7plxk,Audi,A4 Avant,S line,Benzin (mild-hybrid),,Kombi,compound_akb_kitzingen
3mnllm8s,BMW,5er Touring,M Sportpaket,Diesel,,Kombi,compound_akb_schoeneck
03mnr02n,Kia,Niro,Spirit,Plug-In-Hybrid,2023-02-20,SUV,compound_blg_saalanderdonau
3mnu77sq,Citroen,E-C4,Shine,Elektro,2022-11-08,Limousine,compound_akb_kitzingen
3mofxu1n,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
3molvupl,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
