finn_car_id,product_brand,purchasing_model,purchasing_model_line,product_fuel,helper_subscription_handover_date,product_body_type,delivery_compound_location
0cana8ze,Opel,Astra,GS Line,Plug-In-Hybrid,,Limousine,dealer_siebrecht_d2c_uslar
0cb0e02v,Opel,Astra,GS Line,Plug-In-Hybrid,,Limousine,dealer_siebrecht_d2c_uslar
0cc1d0v9,Polestar,2,Long Range Single Motor,Elektro,,Limousine,compound_catzuelpich_zülpich
0cccos23,Opel,Crossland,Elegance,Benzin,2022-07-05,SUV,dealer_siebrecht_d2c_uslar
0cclqotv,VW,Golf Variant,Life,Benzin (mild-hybrid),,Kombi,compound_arsaltmann_wolnzach
0cdg5inm,Opel,Crossland,GS Line,Benzin,2023-01-23,SUV,dealer_siebrecht_d2c_uslar
0cdp1m09,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_schoeneck
0cdqnzwe,Opel,Zafira Life,Edition M,Diesel,2022-10-13,Van,compound_blg_akf_neuss
0cdvjujp,VW,Passat Variant,Business,Diesel,2022-08-08,Kombi,compound_arsaltmann_wolnzach
0cer4d0c,Renault,Zoe,Intens,Elektro,2022-04-25,Limousine,compound_blg_duisburg
00ces9go,Opel,Corsa,Elegance,Benzin,2022-10-12,Limousine,dealer_siebrecht_d2c_uslar
0cg2nkey,VW,Golf Variant,Life,Benzin (mild-hybrid),,Kombi,compound_arsaltmann_wolnzach
0cg663fh,Opel,Corsa,Edition,Benzin,2022-04-12,Limousine,dealer_siebrecht_d2c_uslar
0chpiae2,Opel,Crossland,Edition,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0cie342z,Toyota,Aygo X,Pulse,Benzin,,Limousine,compound_blg_saalanderdonau
0cjscm2y,Polestar,2,Long Range Single Motor,Elektro,,Limousine,compound_catzuelpich_zülpich
0clbccij,Fiat,500C,Dolcevita,Benzin (mild-hybrid),,Cabriolet,compound_mosolf_ketzin
0cmm1tjm,Tesla,Model Y,Long Range,Elektro,2022-12-01,SUV,compound_akb_kitzingen
0cnyxpol,Audi,RS e-tron GT,,Elektro,,Limousine,compound_akb_kitzingen
00co7g7o,Opel,Crossland,Elegance,Benzin,2023-02-08,SUV,dealer_siebrecht_d2c_uslar
0cpg35g5,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
0cqb12dp,MG,ZS,Luxury,Elektro,,SUV,compound_blg_saalanderdonau
0cr2w5ws,Audi,Q3 Sportback,S line,Plug-In-Hybrid,,SUV,compound_akb_kitzingen
0cr9tgqs,Tesla,Model 3,Long Range,Elektro,2023-01-27,Limousine,compound_akb_kitzingen
0ctdcpd3,Opel,Crossland,GS Line,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0ctxixbv,MG,Marvel R,Luxury,Elektro,,SUV,compound_carserviceerkens_wachtendonk
0cxgiog1,Fiat,500,Dolcevita,Benzin (mild-hybrid),,Kleinwagen,compound_mosolf_kippenheim
0cxstzex,BMW,X1,Modell Sport Line,Benzin,,SUV,compound_akb_schoeneck
0czx2la4,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
0d2rsbi3,Opel,Astra ST,GS Line,Plug-In-Hybrid,,Kombi,dealer_siebrecht_d2c_uslar
0d2y8vql,Opel,Astra ST,GS Line,Plug-In-Hybrid,,Kombi,dealer_siebrecht_d2c_uslar
0d3yltcm,MG,Marvel R,Luxury,Elektro,2022-12-20,SUV,compound_carserviceerkens_wachtendonk
0d4g62my,Tesla,Model 3,Long Range,Elektro,,Limousine,compound_akb_buch
0d5gl664,Kia,Rio,Vision,Benzin,,Limousine,compound_blg_d2c_duisburg
0d7gv7cw,Kia,Rio,GT Line,Benzin (mild-hybrid),2022-09-16,Limousine,compound_blg_d2c_duisburg
0d7ota0j,Kia,XCeed,Spirit,Benzin,,SUV,compound_blg_duisburg
0d50jkjg,Fiat,500,Dolcevita,Benzin (mild-hybrid),2023-02-28,Kleinwagen,compound_mosolf_kippenheim
0dc55wmy,BMW,X6,M Sportpaket,Diesel,,SUV,compound_akb_schoeneck
0dd9t14p,Audi,RS 6 Avant,,Benzin (mild-hybrid),2022-11-24,Kombi,compound_akb_kitzingen
0dek7w1b,Ford,Focus,ST-Line,Benzin,,Limousine,dealer_eder_akf_kolbermoor
0deurkn6,Fiat,500,Lounge,Benzin (mild-hybrid),2022-08-16,Kleinwagen,compound_mosolf_ketzin
0df8ycg7,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
0dg0l0hf,Dacia,Spring,Comfort Plus,Elektro,2022-08-11,SUV,compound_akb_schoeneck
0dg5dokw,Jeep,Compass,Upland,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
0dgz6ru7,Opel,Zafira Life,Edition,Diesel,,Van,dealer_siebrecht_d2c_uslar
0dl4cs19,Audi,A3 Sportback,S line,Plug-In-Hybrid,,Limousine,compound_akb_kitzingen
0dl91kzv,Tesla,Model 3,Standard Range,Elektro,2023-02-02,Limousine,compound_akb_kitzingen
0dm6x9qq,Opel,Grandland,GS Line,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0dnaj60o,MINI,5 Türer,Classic Trim,Benzin,,Limousine,compound_akb_schoeneck
0dqeu365,Fiat,500 e,ICON,Elektro,2023-02-15,Kleinwagen,compound_mosolf_kippenheim
0dre47zs,VW,Passat Variant,Business,Diesel,2022-11-10,Kombi,compound_arsaltmann_wolnzach
0drh951l,BMW,1er,Modell M Sport,Diesel,,Limousine,compound_akb_schoeneck
0ds4ih4a,Jeep,Compass,Upland,Plug-In-Hybrid,2023-02-06,SUV,
0ds7di1j,Mitsubishi,Eclipse Cross,Plus,Plug-In-Hybrid,,SUV,compound_blg_d2c_neuss
0dsej0rf,MG,5,Luxury,Elektro,,Kombi,compound_carserviceerkens_wachtendonk
0dsn94ef,Jeep,Compass,Limited,Benzin,2022-02-10,SUV,compound_mosolf_kippenheim
0dt5usjx,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
0dtgo73v,Jeep,Compass,S,Plug-In-Hybrid,2022-08-17,SUV,compound_mosolf_kippenheim
0dtvo4tu,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
0du4alau,Polestar,2,Pilot Plus,Elektro,,Limousine,dealer_eder_polestar_muenchen
0dx2dlzj,Jeep,Compass,Upland,Plug-In-Hybrid,,SUV,compound_mosolf_kippenheim
0dxo0m19,Polestar,2,Long Range Single Motor,Elektro,2022-05-17,Limousine,dealer_eder_polestar_muenchen
0dy18yb8,VW,Golf Variant,Life,Benzin (mild-hybrid),,Kombi,compound_arsaltmann_wolnzach
0dyyz42v,Audi,Q3 Sportback,S line,Plug-In-Hybrid,2022-12-20,SUV,compound_akb_kitzingen
0dyzg09s,Kia,Rio,GT Line,Benzin (mild-hybrid),2022-09-16,Limousine,compound_blg_d2c_duisburg
0dzslj3l,Mitsubishi,Eclipse Cross,Plus,Plug-In-Hybrid,2022-04-14,SUV,compound_blg_neuss
0dzvn9a2,BMW,2er Coupé,M Sportpaket,Benzin,2022-11-22,Coupé,compound_akb_kitzingen
0e0lhq5s,BMW,X7,Basisvariante,Diesel,,SUV,compound_akb_schoeneck
0e7irnrn,Peugeot,508,GT,Plug-In-Hybrid,2022-08-19,Limousine,compound_akb_kitzingen
0e65ny79,BMW,1er,Modell Luxury Line,Benzin,2022-08-26,Limousine,compound_akb_kitzingen
0e95hiv6,Audi,A3 Limousine,S line,Benzin (mild-hybrid),,Limousine,compound_akb_kitzingen
0e569wl2,Mitsubishi,Eclipse Cross,Select,Plug-In-Hybrid,2022-08-01,SUV,compound_blg_d2c_neuss
0ea8xn3u,Tesla,Model 3,Long Range,Elektro,,Limousine,compound_akb_schoeneck
0ec0rjzj,Nissan,Leaf,N-Connecta,Elektro,2022-10-24,Limousine,compound_blg_d2c_atn2_neuss
0ec1im84,Opel,Astra,GS Line,Plug-In-Hybrid,,Limousine,dealer_siebrecht_d2c_uslar
0ecrhsdk,Fiat,500 e,ICON,Elektro,2022-09-29,Kleinwagen,compound_mosolf_kippenheim
0ecy3ahz,Opel,Crossland,Innovation,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0ecypomw,Tesla,Model 3,Partieller Premium-Innenraum,Elektro,,Limousine,compound_akb_schoeneck
0ed6dys6,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0ed07fv0,Opel,Crossland,Elegance,Benzin,2023-02-10,SUV,dealer_siebrecht_d2c_uslar
0ek2bk9s,Audi,RS e-tron GT,,Elektro,,Limousine,compound_akb_kitzingen
0ekhx3wf,Tesla,Model Y,Performance,Elektro,2022-08-31,SUV,compound_akb_kitzingen
0ekx9ef9,Opel,Corsa,Elegance,Benzin,,Limousine,dealer_siebrecht_d2c_uslar
0eleq07c,Polestar,2,Standard Range Single Motor,Elektro,,Limousine,dealer_eder_polestar_muenchen
0ep7x5nj,Fiat,500 e,ICON,Elektro,2023-02-06,Kleinwagen,compound_mosolf_kippenheim
0es1acxe,BMW,3er Touring,Modell Sport Line,Benzin,,Kombi,compound_akb_schoeneck
0estfr02,Audi,Q3 Sportback,S line,Diesel,,SUV,compound_akb_kitzingen
0esv3acl,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
0eubwtd4,Opel,Grandland,GS Line,Plug-In-Hybrid,,SUV,dealer_siebrecht_d2c_uslar
0ev8nd38,BMW,1er,Modell Advantage,Benzin,,Limousine,compound_akb_schoeneck
0evp9os2,Tesla,Model Y,Long Range,Elektro,,SUV,compound_akb_kitzingen
0ex7op2g,Fiat,500 e,ICON,Elektro,2022-12-02,Kleinwagen,compound_mosolf_kippenheim
0eyhvk2h,MG,4,Luxury,Elektro,,Limousine,compound_carserviceerkens_wachtendonk
0ezvnwiu,Opel,Astra ST,GS Line,Plug-In-Hybrid,,Kombi,dealer_siebrecht_d2c_uslar
0f0fqkpb,Fiat,500,Dolcevita,Benzin (mild-hybrid),2023-01-24,Kleinwagen,compound_mosolf_ketzin
0f0qdyhe,Audi,A4 Avant,S line,Benzin (mild-hybrid),,Kombi,compound_akb_kitzingen
0f2aqkuh,Opel,Grandland X,Edition,Benzin,2022-11-08,SUV,dealer_siebrecht_d2c_uslar
0f2ipde1,Opel,Mokka,GS Line,Benzin,,SUV,dealer_siebrecht_d2c_uslar
0f3fs6ny,Peugeot,2008,Allure,Benzin,,SUV,compound_akb_kitzingen
0f4a83dd,Opel,Corsa e,GS Line,Elektro,,Limousine,dealer_siebrecht_d2c_uslar
0f4msam3,BMW,X6,M Sportpaket,Diesel,,SUV,compound_akb_schoeneck
0f4pi6ub,Nissan,Juke,Acenta,Benzin,2022-12-16,SUV,compound_blg_d2c_atn2_neuss
